Max_length,Year,Lat,Lon,Mean,Standard Dev,Max T
5E+00,1.979E+03,5.3E+01,-1.5E+00,2.91843841552734E+02,9.86867175242591E-01,2.93256774902344E+02
4E+00,1.979E+03,5.3E+01,-1.25E+00,2.92484886169434E+02,9.33454724117889E-01,2.93603363037109E+02
4E+00,1.979E+03,5.3E+01,-1E+00,2.92775108337402E+02,8.89015967567829E-01,2.93810089111328E+02
4E+00,1.979E+03,5.3E+01,-7.5E-01,2.92997650146484E+02,8.71094829119597E-01,2.93948516845703E+02
4E+00,1.979E+03,5.3E+01,-5E-01,2.93147529602051E+02,8.70745586935722E-01,2.94015319824219E+02
4E+00,1.979E+03,5.3E+01,-2.5E-01,2.93041374206543E+02,8.34040854793223E-01,2.93874542236328E+02
4E+00,1.979E+03,5.3E+01,0E+00,2.92877395629883E+02,8.30955555678E-01,2.93926788330078E+02
3E+00,1.979E+03,5.3E+01,2.5E-01,2.91769073486328E+02,6.93369639683352E-01,2.92569610595703E+02
3E+00,1.979E+03,5.3E+01,5E-01,2.90697092692057E+02,2.40638324159129E-01,2.9097412109375E+02
2E+00,1.979E+03,5.3E+01,7.5E-01,2.90577026367188E+02,1.78330396720142E-01,2.90703125E+02
2E+00,1.979E+03,5.3E+01,1E+00,2.90460403442383E+02,8.18930125306075E-02,2.90518310546875E+02
2E+00,1.979E+03,5.3E+01,1.25E+00,2.90481155395508E+02,5.5890092873326E-03,2.90485107421875E+02
2E+00,1.979E+03,5.3E+01,1.5E+00,2.90427215576172E+02,1.02026393476868E-01,2.90499359130859E+02
5E+00,1.979E+03,5.275E+01,-1.5E+00,2.92003979492188E+02,9.44331066696955E-01,2.93365173339844E+02
4E+00,1.979E+03,5.275E+01,-1.25E+00,2.92499801635742E+02,9.15891305930107E-01,2.93579193115234E+02
4E+00,1.979E+03,5.275E+01,-1E+00,2.92652275085449E+02,1.02318235345302E+00,2.93897552490234E+02
4E+00,1.979E+03,5.275E+01,-7.5E-01,2.92860694885254E+02,1.04530608234344E+00,2.94101409912109E+02
4E+00,1.979E+03,5.275E+01,-5E-01,2.93091117858887E+02,1.01608166068012E+00,2.94219085693359E+02
4E+00,1.979E+03,5.275E+01,-2.5E-01,2.93123985290527E+02,9.74987684881436E-01,2.94038604736328E+02
4E+00,1.979E+03,5.275E+01,0E+00,2.93270118713379E+02,9.71996717754997E-01,2.94211883544922E+02
4E+00,1.979E+03,5.275E+01,2.5E-01,2.9310018157959E+02,1.08269458605543E+00,2.94182647705078E+02
2E+00,1.979E+03,5.275E+01,5E-01,2.93358062744141E+02,3.72629391404093E-01,2.93621551513672E+02
2E+00,1.979E+03,5.275E+01,7.5E-01,2.93241928100586E+02,4.70663635390008E-01,2.93574737548828E+02
2E+00,1.979E+03,5.275E+01,1E+00,2.93054504394531E+02,5.61360955987147E-01,2.93451446533203E+02
2E+00,1.979E+03,5.275E+01,1.25E+00,2.92672668457031E+02,6.2316374594437E-01,2.93113311767578E+02
2E+00,1.979E+03,5.275E+01,1.5E+00,2.91985748291016E+02,4.14622488211619E-01,2.92278930664062E+02
4E+00,1.979E+03,5.25E+01,-1.5E+00,2.92224822998047E+02,9.78654841394604E-01,2.93394378662109E+02
4E+00,1.979E+03,5.25E+01,-1.25E+00,2.92275009155273E+02,1.04672195388738E+00,2.93522247314453E+02
4E+00,1.979E+03,5.25E+01,-1E+00,2.92546104431152E+02,1.25186988584968E+00,2.94125030517578E+02
4E+00,1.979E+03,5.25E+01,-7.5E-01,2.92816078186035E+02,1.32864500187476E+00,2.94487884521484E+02
4E+00,1.979E+03,5.25E+01,-5E-01,2.93036315917969E+02,1.25058412563167E+00,2.94524749755859E+02
3E+00,1.979E+03,5.25E+01,-2.5E-01,2.93599589029948E+02,1.0867676804867E+00,2.94472259521484E+02
3E+00,1.979E+03,5.25E+01,0E+00,2.93752319335938E+02,9.97382769351774E-01,2.94341094970703E+02
3E+00,1.979E+03,5.25E+01,2.5E-01,2.93530283610026E+02,1.03647585615205E+00,2.94130157470703E+02
3E+00,1.979E+03,5.25E+01,5E-01,2.93384480794271E+02,1.09808469804113E+00,2.94057495117188E+02
3E+00,1.979E+03,5.25E+01,7.5E-01,2.93309295654297E+02,1.05186551285555E+00,2.94018280029297E+02
3E+00,1.979E+03,5.25E+01,1E+00,2.93234608968099E+02,9.8446405540271E-01,2.93995330810547E+02
3E+00,1.979E+03,5.25E+01,1.25E+00,2.93075073242188E+02,8.73920414889283E-01,2.93862091064453E+02
